universidad,grado,grupo,nota,año,convocatoria
Universidad De Alcalá,Magisterio de Educación Infantil (semipresencial),Grupo 1,5.000,2025,ordinaria
Universidad De Alcalá,Magisterio de Educación Infantil (semipresencial),Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Magisterio de Educación Primaria,Grupo 1,7.140,2025,ordinaria
Universidad De Alcalá,Magisterio de Educación Primaria,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Magisterio de Educación Primaria (bilingüe) (docencia en inglés),Grupo 1,5.000,2025,ordinaria
Universidad De Alcalá,Magisterio de Educación Primaria (bilingüe) (docencia en inglés),Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Magisterio de Educación Primaria (Semipresencial),Grupo 1,5.000,2025,ordinaria
Universidad De Alcalá,Magisterio de Educación Primaria (Semipresencial),Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Psicología,Grupo 1,9.199,2025,ordinaria
Universidad De Alcalá,Psicología,Grupo 2,6.74,2025,ordinaria
Universidad Autónoma De Madrid,Arqueología,Grupo 1,5.000,2025,ordinaria
Universidad Autónoma De Madrid,Arqueología,Grupo 2,5.00,2025,ordinaria
Universidad Autónoma De Madrid,Estudios Clásicos y de la Antigüedad,Grupo 1,5.000,2025,ordinaria
Universidad Autónoma De Madrid,Estudios Clásicos y de la Antigüedad,Grupo 2,5.00,2025,ordinaria
Universidad Autónoma De Madrid,Estudios de Asia y África (Árabe),Grupo 1,5.000,2025,ordinaria
Universidad Autónoma De Madrid,Estudios de Asia y África (Árabe),Grupo 2,5.00,2025,ordinaria
Universidad Autónoma De Madrid,Estudios de Asia y África (Chino),Grupo 1,5.000,2025,ordinaria
Universidad Autónoma De Madrid,Estudios de Asia y África (Chino),Grupo 2,5.00,2025,ordinaria
Universidad Autónoma De Madrid,Estudios de Asia y África (Japonés),Grupo 1,5.000,2025,ordinaria
Universidad Autónoma De Madrid,Estudios de Asia y África (Japonés),Grupo 2,5.00,2025,ordinaria
Universidad Autónoma De Madrid,Estudios Hispánicos: Lengua Española y sus Literaturas,Grupo 1,5.000,2025,ordinaria
Universidad Autónoma De Madrid,Estudios Hispánicos: Lengua Española y sus Literaturas,Grupo 2,5.00,2025,ordinaria
Universidad Autónoma De Madrid,Estudios Ingleses,Grupo 1,5.000,2025,ordinaria
Universidad Autónoma De Madrid,Estudios Ingleses,Grupo 2,5.00,2025,ordinaria
Universidad Autónoma De Madrid,Filosofía,Grupo 1,5.000,2025,ordinaria
Universidad Autónoma De Madrid,Filosofía,Grupo 2,5.00,2025,ordinaria
