universidad,grado,grupo,nota,año,convocatoria
Universidad Complutense De Madrid,Maestro de Educacion Primaria,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Infantil,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Primaria,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Primaria,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Pedagogia,Grupo 1,5.000,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Primaria,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Pedagogia,Grupo 2,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Primaria,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Pedagogia,Grupo 3,5.000,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Primaria,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Pedagogia,Grupo 4,5.00,2025,ordinaria
Universidad Complutense De Madrid,Maestro de Educacion Primaria,Grupo 5,5.00,2025,ordinaria
Universidad Complutense De Madrid,Pedagogia,Grupo 5,5.00,2025,ordinaria
Universidad De Alcalá,Arquitectura Tecnica y Edificacion,Grupo 1,7.707,2025,ordinaria
Universidad De Alcalá,Arquitectura Tecnica y Edificacion,Grupo 2,6.70,2025,ordinaria
Universidad De Alcalá,Fundamentos de Arquitectura y Urbanismo,Grupo 1,10.148,2025,ordinaria
Universidad De Alcalá,Fundamentos de Arquitectura y Urbanismo,Grupo 2,7.12,2025,ordinaria
Universidad De Alcalá,Ingenieria de Computadores,Grupo 1,8.575,2025,ordinaria
Universidad De Alcalá,Ingenieria de Computadores,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Ingenieria Electronica de Comunicaciones,Grupo 1,7.504,2025,ordinaria
Universidad De Alcalá,Ingenieria Electronica de Comunicaciones,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Ingenieria Electronica y Automatica Industrial,Grupo 1,9.976,2025,ordinaria
Universidad De Alcalá,Ingenieria Electronica y Automatica Industrial,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Ingenieria en Sistemas de Informacion,Grupo 1,8.139,2025,ordinaria
Universidad De Alcalá,Ingenieria en Sistemas de Informacion,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Ingenieria en Sistemas de Telecomunicacion,Grupo 1,7.800,2025,ordinaria
Universidad De Alcalá,Ingenieria en Sistemas de Telecomunicacion,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Ingenieria en Tecnologias de Telecomunicacion,Grupo 1,8.003,2025,ordinaria
Universidad De Alcalá,Ingenieria en Tecnologias de Telecomunicacion,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Ingenieria en Tecnologias de Telecomunicacion + Master Universitario en Ingenieria de Telecomunicaciones,Grupo 1,8.553,2025,ordinaria
Universidad De Alcalá,Ingenieria en Tecnologias de Telecomunicacion + Master Universitario en Ingenieria de Telecomunicaciones,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Ingenieria en Tecnologias Industriales,Grupo 1,11.000,2025,ordinaria
Universidad De Alcalá,Ingenieria en Tecnologias Industriales,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Ingenieria en Tecnologias Industriales + Master Universitario en Ing. Industrial,Grupo 1,11.614,2025,ordinaria
Universidad De Alcalá,Ingenieria en Tecnologias Industriales + Master Universitario en Ing. Industrial,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Ingenieria Informatica,Grupo 1,10.700,2025,ordinaria
Universidad De Alcalá,Ingenieria Informatica,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Ingenieria Telematica,Grupo 1,7.575,2025,ordinaria
Universidad De Alcalá,Ingenieria Telematica,Grupo 2,6.11,2025,ordinaria
Universidad De Alcalá,Matematicas y Computacion,Grupo 1,10.064,2025,ordinaria
Universidad De Alcalá,Matematicas y Computacion,Grupo 2,7.69,2025,ordinaria
Universidad De Alcalá,Educacion Social,Grupo 1,5.000,2025,ordinaria
Universidad De Alcalá,Educacion Social,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Magisterio de Educacion Infantil,Grupo 1,5.336,2025,ordinaria
Universidad De Alcalá,Magisterio de Educacion Infantil,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Magisterio de Educacion Infantil,Grupo 1,5.000,2025,ordinaria
Universidad De Alcalá,Magisterio de Educacion Infantil,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Magisterio de Educacion Infantil,Grupo 1,5.000,2025,ordinaria
Universidad De Alcalá,Magisterio de Educacion Infantil,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Magisterio de Educacion Primaria,Grupo 1,7.140,2025,ordinaria
Universidad De Alcalá,Magisterio de Educacion Primaria,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Magisterio de Educacion Primaria,Grupo 1,5.000,2025,ordinaria
Universidad De Alcalá,Magisterio de Educacion Primaria,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Magisterio de Educacion Primaria,Grupo 1,5.000,2025,ordinaria
Universidad De Alcalá,Magisterio de Educacion Primaria,Grupo 2,5.00,2025,ordinaria
Universidad De Alcalá,Psicologia,Grupo 1,9.199,2025,ordinaria
Universidad De Alcalá,Psicologia,Grupo 2,6.74,2025,ordinaria
Universidad Autónoma De Madrid,Arqueologia,Grupo 1,5.000,2025,ordinaria
Universidad Autónoma De Madrid,Arqueologia,Grupo 2,5.00,2025,ordinaria
Universidad Autónoma De Madrid,Estudios Clasicos y de la Antiguedad,Grupo 1,5.000,2025,ordinaria
Universidad Autónoma De Madrid,Estudios Clasicos y de la Antiguedad,Grupo 2,5.00,2025,ordinaria
Universidad Autónoma De Madrid,Estudios de Asia y Africa,Grupo 1,5.000,2025,ordinaria
Universidad Autónoma De Madrid,Estudios de Asia y Africa,Grupo 2,5.00,2025,ordinaria
Universidad Autónoma De Madrid,Estudios de Asia y Africa,Grupo 1,5.000,2025,ordinaria
Universidad Autónoma De Madrid,Estudios de Asia y Africa,Grupo 2,5.00,2025,ordinaria
Universidad Autónoma De Madrid,Estudios de Asia y Africa,Grupo 1,5.000,2025,ordinaria
Universidad Autónoma De Madrid,Estudios de Asia y Africa,Grupo 2,5.00,2025,ordinaria
